adaptability,adapts_well_to_apartment_living,affectionate_with_family,all_around_friendliness,amount_of_shedding,breed,dog_friendly,drooling_potential,easy_to_groom,easy_to_train,energy_level,exercise_needs,friendly_toward_strangers,general_health,good_for_novice_owners,health_grooming,incredibly_kid_friendly_dogs,intelligence,intensity,is_cat,kid_friendly,pet_friendly,potential_for_mouthiness,potential_for_playfulness,potential_for_weight_gain,prey_drive,sensitivity_level,size,tendency_to_bark_or_howl,tendency_to_vocalize,tolerates_being_alone,tolerates_cold_weather,tolerates_hot_weather,trainability,wanderlust_potential
,,3.0,,3.0,Abyssinian,,,3.0,,,,,2.0,,,,5.0,,1,5.0,5.0,,5.0,,,,,,,,,,,
,,4.0,,4.0,American Bobtail,,,3.0,,,,4.0,4.0,,,,4.0,,1,4.0,4.0,,4.0,,,,,,3.0,,,,,
,,5.0,,4.0,American Curl,,,4.0,,,,4.0,5.0,,,,,,1,4.0,4.0,,4.0,,,,,,5.0,,,,,
,,3.0,,3.0,American Shorthair,,,4.0,,,,4.0,4.0,,,,4.0,,1,4.0,3.0,,2.0,,,,,,,,,,,
,,4.0,,3.0,American Wirehair,,,5.0,,,,3.0,5.0,,,,4.0,,1,4.0,3.0,,3.0,,,,,,,,,,,
,,4.0,,3.0,Balinese,,,4.0,,,,4.0,2.0,,,,,,1,4.0,4.0,,4.0,,,,,,1.0,,,,,
,,5.0,,2.0,Bengal Cats,,,4.0,,,,,3.0,,,,5.0,,1,5.0,5.0,,5.0,,,,,,2.0,,,,,
,,5.0,,3.0,Birman,,,2.0,,,,,2.0,,,,4.0,,1,5.0,5.0,,4.0,,,,,,4.0,,,,,
,,4.0,,2.0,Bombay,,,4.0,,,,4.0,4.0,,,,4.0,,1,4.0,4.0,,4.0,,,,,,3.0,,,,,
,,3.0,,3.0,British Shorthair,,,4.0,,,,4.0,4.0,,,,,,1,4.0,,,2.0,,,,,,4.0,,,,,
,,5.0,,2.0,Burmese,,,5.0,,,,5.0,2.0,,,,5.0,,1,5.0,4.0,,4.0,,,,,,,,,,,
,,4.0,,3.0,Burmilla,,,4.0,,,,,3.0,,,,3.0,,1,4.0,4.0,,5.0,,,,,,,,,,,
,,3.0,,4.0,Chartreux,,,2.0,,,,3.0,4.0,,,,,,1,3.0,4.0,,3.0,,,,,,5.0,,,,,
,,,,,Chinese Li Hua,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,5.0,,2.0,Colorpoint Shorthair,,,4.0,,,,,2.0,,,,4.0,,1,4.0,4.0,,5.0,,,,,,1.0,,,,,
,,5.0,,2.0,Cornish Rex,,,5.0,,,,5.0,3.0,,,,4.0,,1,5.0,5.0,,5.0,,,,,,2.0,,,,,
,,5.0,,4.0,Cymric,,,2.0,,,,4.0,3.0,,,,4.0,,1,3.0,3.0,,,,,,,,2.0,,,,,
,,5.0,,1.0,Devon Rex,,,5.0,,,,5.0,1.0,,,,4.0,,1,5.0,4.0,,4.0,,,,,,3.0,,,,,
,,5.0,,3.0,Egyptian Mau,,,4.0,,,,2.0,4.0,,,,,,1,4.0,3.0,,4.0,,,,,,2.0,,,,,
,,5.0,,2.0,European Burmese,,,5.0,,,,5.0,1.0,,,,5.0,,1,5.0,5.0,,5.0,,,,,,1.0,,,,,
,,4.0,,3.0,Exotic,,,2.0,,,,,2.0,,,,3.0,,1,3.0,3.0,,4.0,,,,,,5.0,,,,,
,,5.0,,3.0,Havana Brown,,,5.0,,,,3.0,4.0,,,,,,1,4.0,4.0,,3.0,,,,,,,,,,,
,,4.0,,5.0,Himalayan,,,1.0,,,,2.0,2.0,,,,,,1,2.0,2.0,,1.0,,,,,,,,,,,
,,5.0,,3.0,Japanese Bobtail,,,4.0,,,,,4.0,,,,4.0,,1,5.0,5.0,,5.0,,,,,,1.0,,,,,
,,5.0,,3.0,Javanese,,,4.0,,,,4.0,2.0,,,,4.0,,1,4.0,4.0,,4.0,,,,,,1.0,,,,,
,,5.0,,1.0,Korat,,,5.0,,,,2.0,4.0,,,,,,1,3.0,3.0,,,,,,,,5.0,,,,,
,,4.0,,2.0,LaPerm,,,4.0,,,,4.0,4.0,,,,,,1,4.0,4.0,,5.0,,,,,,5.0,,,,,
,,3.0,,4.0,Maine Coon,,,4.0,,,,2.0,3.0,,,,,,1,5.0,5.0,,4.0,,,,,,4.0,,,,,
,,4.0,,3.0,Manx,,,3.0,,,,3.0,3.0,,,,4.0,,1,2.0,2.0,,3.0,,,,,,2.0,,,,,
,,4.0,,4.0,Nebelung,,,2.0,,,,2.0,4.0,,,,4.0,,1,2.0,3.0,,4.0,,,,,,,,,,,
,,2.0,,4.0,Norwegian Forest,,,2.0,,,,2.0,2.0,,,,,,1,4.0,4.0,,,,,,,,4.0,,,,,
,,4.0,,2.0,Ocicat,,,4.0,,,,4.0,3.0,,,,4.0,,1,4.0,3.0,,,,,,,,2.0,,,,,
,,,,,Oriental,,,,,,,,,,,,,,1,,,,,,,,,,1.0,,,,,
,,3.0,,5.0,Persian,,,,,,,2.0,2.0,,,,,,1,2.0,2.0,,2.0,,,,,,3.0,,,,,
,,5.0,,4.0,Pixie-Bob,,,2.0,,,,3.0,5.0,,,,4.0,,1,5.0,4.0,,4.0,,,,,,3.0,,,,,
,,5.0,,4.0,Ragamuffin,,,4.0,,,,4.0,4.0,,,,4.0,,1,5.0,5.0,,3.0,,,,,,,,,,,
,,5.0,,4.0,Ragdoll Cats,,,1.0,,,,,3.0,,,,4.0,,1,5.0,4.0,,4.0,,,,,,4.0,,,,,
,,4.0,,4.0,Russian Blue,,,2.0,,,,2.0,4.0,,,,4.0,,1,3.0,4.0,,2.0,,,,,,,,,,,
,,4.0,,3.0,Savannah,,,4.0,,,,5.0,5.0,,,,5.0,,1,4.0,5.0,,5.0,,,,,,3.0,,,,,
,,5.0,,3.0,Scottish Fold,,,2.0,,,,,3.0,,,,4.0,,1,5.0,4.0,,3.0,,,,,,,,,,,
,,4.0,,4.0,Selkirk Rex,,,2.0,,,,,3.0,,,,,,1,5.0,4.0,,4.0,,,,,,2.0,,,,,
,,,,,Siamese Cat,,,,,,,,,,,,,,1,,,,,,,,,,,,,,,
,,5.0,,4.0,Siberian,,,2.0,,,,4.0,4.0,,,,4.0,,1,5.0,4.0,,5.0,,,,,,2.0,,,,,
,,5.0,,2.0,Singapura,,,4.0,,,,4.0,4.0,,,,5.0,,1,4.0,4.0,,4.0,,,,,,5.0,,,,,
,,5.0,,3.0,Snowshoe,,,5.0,,,,4.0,5.0,,,,5.0,,1,5.0,4.0,,5.0,,,,,,2.0,,,,,
,,5.0,,4.0,Somali,,,3.0,,,,4.0,2.0,,,,5.0,,1,5.0,5.0,,5.0,,,,,,,,,,,
,,5.0,,1.0,Sphynx,,,2.0,,,,5.0,2.0,,,,4.0,,1,5.0,5.0,,4.0,,,,,,,,,,,
,,5.0,,2.0,Tonkinese,,,4.0,,,,3.0,2.0,,,,5.0,,1,5.0,4.0,,5.0,,,,,,1.0,,,,,
,,5.0,,2.0,Turkish Angora,,,4.0,,,,4.0,3.0,,,,4.0,,1,3.0,3.0,,5.0,,,,,,,,,,,
,,3.0,,2.0,Turkish Van,,,4.0,,,,2.0,4.0,,,,5.0,,1,3.0,3.0,,4.0,,,,,,,,,,,
3.0,5.0,5.0,3.0,1.0,Affenpinscher,4.0,1.0,3.0,2.0,4.0,3.0,3.0,4.0,4.0,2.0,1.0,4.0,3.0,0,,,4.0,4.0,3.0,3.0,3.0,1.0,2.0,,1.0,3.0,3.0,3.0,2.0
4.0,5.0,5.0,4.0,4.0,Afghan Hound,4.0,1.0,1.0,1.0,5.0,4.0,2.0,3.0,3.0,2.0,5.0,4.0,2.0,0,,,3.0,4.0,1.0,5.0,5.0,4.0,2.0,,2.0,5.0,5.0,3.0,5.0
2.0,1.0,4.0,4.0,2.0,Airedale Terrier,4.0,1.0,2.0,4.0,5.0,5.0,3.0,3.0,2.0,3.0,4.0,5.0,3.0,0,,,5.0,5.0,4.0,5.0,3.0,3.0,4.0,,2.0,3.0,3.0,5.0,4.0
3.0,2.0,5.0,2.0,5.0,Akita,1.0,5.0,1.0,2.0,4.0,4.0,2.0,4.0,2.0,4.0,1.0,3.0,3.0,0,,,3.0,5.0,4.0,4.0,5.0,4.0,5.0,,1.0,5.0,2.0,4.0,4.0
