breed,is_cat,Affectionate with Family,Amount of Shedding,Easy to Groom,General Health,Intelligence,Kid Friendly,Pet Friendly,Potential for Playfulness,Friendly Toward Strangers,Tendency to Vocalize, Adaptability, All Around Friendliness, Exercise Needs, Health Grooming, Trainability,Adapts Well to Apartment Living,Amount Of Shedding,Dog Friendly,Drooling Potential,Easy To Groom,Easy To Train,Energy Level,Exercise Needs,Good For Novice Owners,Incredibly Kid Friendly Dogs,Intensity,Potential For Mouthiness,Potential For Playfulness,Potential For Weight Gain,Prey Drive,Sensitivity Level,Size,Tendency To Bark Or Howl,Tolerates Being Alone,Tolerates Cold Weather,Tolerates Hot Weather,Wanderlust Potential
Abyssinian,1,3.0,3.0,3.0,2.0,5.0,5.0,5.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Bobtail,1,4.0,4.0,3.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Curl,1,5.0,4.0,4.0,5.0,,4.0,4.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Shorthair,1,3.0,3.0,4.0,4.0,4.0,4.0,3.0,2.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
American Wirehair,1,4.0,3.0,5.0,5.0,4.0,4.0,3.0,3.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Balinese,1,4.0,3.0,4.0,2.0,,4.0,4.0,4.0,4.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bengal Cats,1,5.0,2.0,4.0,3.0,5.0,5.0,5.0,5.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Birman,1,5.0,3.0,2.0,2.0,4.0,5.0,5.0,4.0,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bombay,1,4.0,2.0,4.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
British Shorthair,1,3.0,3.0,4.0,4.0,,4.0,,2.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burmese,1,5.0,2.0,5.0,2.0,5.0,5.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Burmilla,1,4.0,3.0,4.0,3.0,3.0,4.0,4.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chartreux,1,3.0,4.0,2.0,4.0,,3.0,4.0,3.0,3.0,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Chinese Li Hua,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Colorpoint Shorthair,1,5.0,2.0,4.0,2.0,4.0,4.0,4.0,5.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cornish Rex,1,5.0,2.0,5.0,3.0,4.0,5.0,5.0,5.0,5.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Cymric,1,5.0,4.0,2.0,3.0,4.0,3.0,3.0,,4.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devon Rex,1,5.0,1.0,5.0,1.0,4.0,5.0,4.0,4.0,5.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
